Target,Text,Label
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,Die von linken Partein und den Gewerkschaften - gegen die bürglerichen Parteien - erfolgreich durchgesetzten flankierenden Massnahmen sind weiter zu entwickeln. Die Auswirkungen müssen für alle sozialverträglich bleiben.,FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,Es braucht endlich wieder eine ehrliche Diskussion zum Thema. De facto ist die Schweiz längst ein EU-Passivmitglied - ohne jegliche Mitbestimmungen. Für die älteste Demokratie Europas ein unwürdiger und unschweizerischer Zustand. EU-Gesetzgebungen werden in der Schweiz oft konsequenter umgesetzt als in offiziellen Mitgliederländern.,FAVOR
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,"Ja, wobei integrale Elemente der Schweizer Qualitätsstrategie (Tier- und Umweltschutz, GVO-Auschschluss, Deklarationspflicht von Herkunft und Herstellmethoden) anerkannt werden müssen. Viele dieser Elemente sind heute auch in der EU ähnlich geregelt.",FAVOR
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?",Der Neutralitätsbegriff muss weiter entwickelt werden. Engagment in europa- und weltpolitischen Fragen zusammen mit Wertepartnern ist sinnvoll.,FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Die EU ist ein Konstrukt, das den europäischen Eigenheiten widerspricht und wird deshalb wirtschaftlich und gesellschaftlich in absehbarer Zeit nicht funktionieren.",AGAINST
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,"Eigentlich ja, jedoch nur sofern auf beiden Seiten gleiche Bedingungen herrschen, was 1. in absehbarer Zeit kaum der Fall sein wird und 2. in der Schweiz durchgesetzt und in der EU oft nicht durchgesetzt wird. Folglich ist es für Schweizer Landwirte unmöglich mit EU-Landwirten zu konkurrenzieren.",FAVOR
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Einige Verbesserungen sind vorzunehmen, damit die Schweiz schneller und effektiver reagieren kann.",FAVOR
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Die Realität zeigt, dass wir uns hier heftige Probleme einhandeln. Die Vereinbarungen mit der EU scheinen noch nicht griffig.",AGAINST
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Die EU ist definitv noch nicht so stabil, als dass wir uns auf dieses Abenteuer einlassen sollten.",AGAINST
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?","Unsere Neutralität ist ein starkes Asset, das wir nicht zu schnell aus der Hand geben dürfen. Als Mitglied in Blockstaaten-Vereinigungen sind wir die kleinsten und werden kaum wahrgenommen. Als neutrales Land sind wir Sitz von wichtigen Institutionen und haben mit der Neutralität auch etwas, das alle anderen nicht haben.",AGAINST
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,Wir können mit den Grossbetrieben in der EU nicht konkurrenzieren. Ein Beitritt wäre das Ende für viele von unseren Bauern.,AGAINST
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Beschämt gebe ich zu, dass ich seinerzeit auch ja gestimmt habe. Heute sind wir aber an einem Missbrauchspunkt angekommen, und so habe ich meine Meinung um 180 ° gedreht.",AGAINST
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Solange wir mit den bilateralen Verhandlungen so gut vorankommen wie bisher, gibt es keinen Grund, dass wir unsere Verhandlungspositionen mit einem Beitrittsgesuch schwächen.",AGAINST
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?","ja, solange es um die Mithilfe zur Durchsetzung von Menschenrechten geht und die Aktivitäten noch als im Rahmen der guten Dienste der Schweiz verstanden werden können. Für alles Weitere haben in der Schweiz gottseidank nicht die Diplomaten, sondern das Volk, das letzte Wort.",FAVOR
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,"Mit dieser Frage habe ich mich noch nie vertieft auseinandergesetzt.  Ich bin mir nicht ganz sicher, ob wir mit einer Unterzeichnung unsere Landwirtschaft über Massen schwächen würden. Diese Frage gehört allerdings auch nicht auf die kantonale Ebene, sondern in den Bund.",AGAINST
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Langfristig gehört die Schweiz zur EU. Doch in den nächsten vier Jahren wäre dieses Vorhaben bei der Schweizer Bevölkerung chancenlos, weshalb die Einreichung eines Beitrittsgesuchs zurzeit eher kontraproduktiv sein könnte.",AGAINST
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,"M.E. überwiegen die Nachteile eines solchen Abkommens. Der Import von Agrarprodukten ist auch aus ökologischer Sicht fragwürdig, da in der EU andere Standards gelten und noch mehr Waren herum transportiert werden. Die Schweiz tut gut daran, bei der Lebensmittelversorgung nicht noch stärker vom Ausland abhängig zu sein. Und ganz persönlich trinke ich lieber Milch vom Bauern hier als von irgendwo anders.",AGAINST
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"mit den flankierenden Massnahmen, die auch umgesetzt gehören.",FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"schlicht, weil sich diese Frage so nicht stellen wird. Die Schweiz muss aber weiterhin eine aktive Europapolitik machen und den EU-Beitritt mittelfristig ins Auge fassen.",AGAINST
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Ganz zentral ist, dass die flankierenden Massnahmen einen Missbrauch verhindern und deshalb konsequent bei Lohndumping u.a. umgesetzt werden müssen.",FAVOR
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,Auch hier: die begleitenden Massnahmen sind zentral.,FAVOR
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?","Es braucht mehr Einsatz zur Überwindung der weltweiten Armut. Hierzu müssen auch wirtschaftliche Unternehmen zu Mitverantwortung verpflichtet werden. Die Überwindung von Hunger, heilbaren Krankheiten, Bildungsmängeln, Dauerarbeitslosigkeit bilden eine Voraussetzung für den Frieden.",FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"die EU ist leider nur von der idee gut. die umsetzug ist zu neoliberal, zentralistisch und zu undemokratisch.",AGAINST
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"es ist einfacher für einen schuh um die ganze welt zu reisen, als für einen menschen. dabei steht in der verfassung die niederlassungsfreiheit ganz am anfang.",FAVOR
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?","die schweiz ist nicht neutral, da sie interessen hat. zb frieden und stabilität. dafür sollte sie sich viel stärker einsetzen.",FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Die Schweiz mit ihrer Erfahrung würde der EU gut tun und wir könnten endlich mitentscheiden. Ich habe keine Lust mehr die Diktate aus Brüssel umzusetzen ohne mitentscheiden zu können. WIr könnten viel einbringen an Know-how in Sachen Demokratie, Föderalismus und solide Wirtschaft.",FAVOR
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,Regionale Produktion und Vermarktung reduziert auch die Co2-Emissionen.,AGAINST
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,Die Flankierenden Massnahmen müssen ausgebaut und lückenlos und flächendeckend umgesetzt werden!        Die Kontrollen sind massiv zu verdichten.,FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,Weder in den nächsten vier Jahren noch sonst irgend wann.,AGAINST
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?","Sofern es beim ""weniger an der strikten Neutralität orientiert"" bleibt!",FAVOR
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?",Bei strikter Wahrung der Neutralität wäre ein wertvollerer Beitrag der Schweiz bei der Bewältigung von internationalen Krisen möglich. Zumindest wäre dies meine Hoffnung.,AGAINST
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,"Die Existenz der Landwirtschaftsbetriebe in der Schweiz müsste jedoch weiterhin sichergestellt bleiben, insbesondere auch in den Berggebieten.",FAVOR
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?",Neutralität ist kein rechtlicher Begriff sondern wird von der politischen Auslegung bestimmt. Entsprechend steht eine aktive Aussenpolitik nicht im Konflikt zur Neutralität. Entscheidend ist vielmehr der Inhalt der aktiven Aussenpolitik.,FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Ich sehe den Weg nur über bilaterale Verträge.Mir ist dabei klar, dass wir nicht nur nehmen können, sondern auch etwas geben. Das müsste aber über die bilateralen Verträge möglich sein.",AGAINST
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,"Die schweizerische Landwirtschaft müsste vermehrt darauf achten, dass sie Nischenprodukte produziert, für die auch mehr bezahlt werden, resp. die effektiv einen Mehrwert darstellen.",AGAINST
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Hier scheint es mir, dass die Schweiz grundsätzlich profitiert. Die entsprechenden flankierenden Massnahmen genügen, wenn sie konsequent umgesetzt werden.",FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,Die Vor- und Nachteile eines EU-Beitritts sind aber regelmässig zu prüfen. Es darf kein Denkverbot in der EU-Frage geben!,AGAINST
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Die Personenfreizügigkeit darf nicht verwechselt werden mit der Freizügigleit, mit welcher ausländische Firmen in die Schweiz geholt werden. Der Steuer- und Standortwettbewerb zwischen den Kantonen muss gestoppt werden, damit eine unkontrollierbares Wachstum verhindert werden kann.",FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,In den kommenden 4 Jahren wird sich auch der weitere Weg der EU entscheidend klären müssen. So oder so muss die Schweiz ihre Verhandlungschancen aktiv ausloten.,FAVOR
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,Freier Handel darf aber nicht einseitig nach umweltschädigenden Kriterien der industriell ausgerichteten Landwirtschaft gewährt werden.,FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Ich stehe grundsätzlich der Idee eines gemeinsamen Europas positiv gegenüber. Momentan bestehen aber zu viele offene Fragen, darum nein.",AGAINST
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Momentan ist angesichts der finanziellen Turbulenzen ein EU-Beitritt höchst unrealistisch und wohl auch unvernünftig. Mittelfristig wird die Schweiz aber nicht darum herum kommen, sich in einen grösseren räumlichen Verbund einzugliedern",AGAINST
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,"Solange in der EU Lebensmittel mehrheitlich unökologisch produziert werden, ist die - im Vergleich - stärker auf Bio ausgerichtete einheimische Landwirtschaft zu schützen.
Ausserdem: think global - eat regional",AGAINST
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Die Kontrollen müssen aber verschärft werden, damit kein Lohndumping stattfinden kann.",FAVOR
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?","Die Schweiz soll ihre Neutralität bewahren, was allerdings nicht heisst, dass sie sich vor jeglichen Diskussionen fernhaltet.",FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Ich glaube nicht, dass es der richtige Zeitpunkt dafür ist.",AGAINST
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,"Wenn dies geschieht, muss darauf geachtet werden, dass die Spiesse für die einheimische Landwirtschaft gleich lang bleiben. Es kann nicht sein, dass in der Schweiz Vorschriften eingehalten sind, welche die (ohnehin hohen) Produktionskosten weiter hochtreiben, dieweil importierte Produkte unter anderen Bedingungen produziert werden können.",FAVOR
Ist die Begrenzung der Einwanderung für Sie wichtiger als der Erhalt der Bilateralen Verträge mit der EU?,"Das Schweizer Volk hat die MEI angenommen und daher muss diese umgesetzt werden. Die Konsequenzen einer Annahme war den Stimmbürgern bewusst, somit müssen diese Konsequenzen in kauf genommen werden.",FAVOR
Befürworten Sie eine weitere Verschärfung des Asylrechts?,Unser Asylrecht muss konsequent angewendet werden. Missbräuche im Asylwesen müssen geahndet werden.,AGAINST
"Sollen Ausländer/-innen, die seit mindestens zehn Jahren in der Schweiz leben, das Stimm- und Wahlrecht auf Gemeindeebene erhalten?",Wer in der Gemeinde mitbestimmen will soll sich dementsprechend integriert haben. Einbürgerungsverfahren!,AGAINST
Ist die Begrenzung der Einwanderung für Sie wichtiger als der Erhalt der Bilateralen Verträge mit der EU?,Die Selbstbestimmung über die Einwanderung darf nicht geopfert werden.,FAVOR
Befürworten Sie eine weitere Verschärfung des Asylrechts?,Wenn das bestehende Asylrecht konsequent umgesetzt würde brauchen wir keine Verschärfung,AGAINST
Sollen die Anforderungen für Einbürgerungen erhöht werden?,Solange die bestehenden Anforderungen für eine Einbürgerung auch umgesetzt werden braucht es keine Verschärfung. (10 Jahre Erfahrung als Bürgerrechtskommissionsmitglied ),AGAINST
Soll der Bund Ausländer/-innen bei der Integration stärker unterstützen?,Es gibt schon viele Unterstützungen. Wenn der Wille zur Integration fehlt nützen auch zusätzliche staatlich finanzierte Angebote nichts.,AGAINST
Soll die Schweiz Verhandlungen über den Beitritt zur EU aufnehmen?,Die Mehrheit des Stimmvolkes hat dies abgelehnt und würde dies nach meiner Einschätzung auch wieder machen. Ein Verhandlungsmandat müsste zuerst vom Volk bewilligt werden.,AGAINST
Soll der Bundesrat ein Freihandelsabkommen mit den USA anstreben?,Wie zuverlässig ist momentan ein Vertrag mit der USA???,AGAINST
"Eine Initiative fordert, dass die Haftungsregeln für Unternehmen mit Sitz in der Schweiz in Bezug auf die Einhaltung von Menschenrechten und Umweltstandards im Ausland verschärft werden. Befürworten Sie dies?","Dies würde nur zur Auslagerung des Geschäftssitzes führen. Solche Vorgaben nützen nur, wenn weltweit dieselben Vorgaben eingehalten werden. Wenn der Hauptsitz in der Schweiz ist kann die Schweiz eher Verhandlungen führen. Im Ausland passiert eh nichts.",AGAINST
Befürworten Sie die Kandidatur der Schweiz für einen Sitz im UNO-Sicherheitsrat?,"Seit die Schweiz UNO Mitglied ist, ist sie ein Land von vielen. Früher hatten wir die Möglichkeit Beiträge gezielt einzusetzen. Heute sind wir nur noch zum Bezahlen gut und teure Konferenzen zu finanzieren welche, ausser unsere Umwelt und das Klima zu belasten, zu nichts führen.",AGAINST
"Eine Initiative fordert, dass die Haftungsregeln für Unternehmen mit Sitz in der Schweiz in Bezug auf die Einhaltung von Menschenrechten und Umweltstandards im Ausland verschärft werden. Befürworten Sie dies?","Die Konzernverantwortungsinitiative ist eine Notwendigkeit damit schweizer Unternehmen ihrer
Verantwortung auch im Ausland nachkommen und ethisch wirtschaften.",FAVOR
"Sollen Ausländer/-innen, die seit mindestens zehn Jahren in der Schweiz leben, das Stimm- und Wahlrecht auf Gemeindeebene erhalten?",Ausländerinnen und Ausländer können sich einbürgern lassen.,AGAINST
Ist die Begrenzung der Einwanderung für Sie wichtiger als der Erhalt der Bilateralen Verträge mit der EU?,"Diese Frage ist schwierig zu beantworten, da die neue EU-Kommission noch nicht im Amt ist und die Brexit-Frage auch nicht geklärt ist.",FAVOR
Sollen die Anforderungen für Einbürgerungen erhöht werden?,"Ich gehe aber davon aus, dass die Einbürgerungsbehörden in einem Härtefall konsequent handeln und eine mögliche Einbürgerung ablehnen.",AGAINST
Befürworten Sie die Kandidatur der Schweiz für einen Sitz im UNO-Sicherheitsrat?,"Unsere neutralen Dienste sind wichtiger denn je, dazu benötigt es keinen Sitz im Sicherheitsrat.",AGAINST
Soll der Bundesrat ein Freihandelsabkommen mit den USA anstreben?,Grundsätzlich ja. Durch die Sensibilisierung der Bevölkerung für hochwertige und umweltfreundlich hergestellte landwirtschaftliche Produkte werden auch Schweizer Bauernbetriebe - die nach diesen Standards arbeiten - nicht darunter leiden.,FAVOR
Soll die Schweiz Verhandlungen über den Beitritt zur EU aufnehmen?,"Die Schweiz muss ein solidarisches Europa aktiv mitbestimmen, statt unbeteiligt zuzuschauen. Denn es geht auch uns entwas an, wenn Menschen im Mittelmeer ertrinken, wenn statt der Menschen und der Umwelt Kapital und Profit im Zentrum der Europäischen Politik stehen.",FAVOR
"Sollen Ausländer/-innen, die seit mindestens zehn Jahren in der Schweiz leben, das Stimm- und Wahlrecht auf Gemeindeebene erhalten?",Gemeinden können schon heute Ausländern das Stimm- und Wahlrecht geben. Das soll aber nicht für alle Gemeinden der Schweiz verordnet werden. Durch Einbürgerung kann jeder dieser Ausländer diese Rechte erhalten.,AGAINST
Soll der Bund Ausländer/-innen bei der Integration stärker unterstützen?,"Die Integration erfolgt in den Gemeinden. Wenn die Gemeinden bei der Integration finanziell unterstützt werden, wäre dies aber richtig.",AGAINST
"Sollen Ausländer/-innen, die seit mindestens zehn Jahren in der Schweiz leben, das Stimm- und Wahlrecht auf Gemeindeebene erhalten?","Das Einbinden von Personen und Meinungen führt immer dazu, dass mitgemacht anstatt abgeschottet wird.",FAVOR
Sollen Sans-Papiers einfacher einen geregelten Aufenthaltsstatus erhalten?,"Ein individuelles, soziales Abwägen ist angebracht.",AGAINST
Befürworten Sie eine weitere Verschärfung des Asylrechts?,"Als Mitglied von Médecins sans Frontières"" meine ich, dass wir die Augen vor all dem Elend in den Flüchtlingslagern in den Mittelmeerrandstaaten und auf dem Mittelmeer nicht verschliessen können. Eine ganze Generation von Kindern  verpasst wegen fehlender Schulbildung die Zukunft. Es braucht Hilfe in den Ursprungsstaaten z.B. mit klaren Spielregeln in Freihandelsverträgen (Kampf gegen Korruption, Abholzung, Kinderarbeit etc.). Wir müssen uns auch an dieECD-Steuerregeln halten.",AGAINST
Soll die Schweiz Verhandlungen über den Beitritt zur EU aufnehmen?,Zuerst Regelung der bilateralen Verträge; dann weiterschauen.,AGAINST
Soll der Bundesrat ein Freihandelsabkommen mit den USA anstreben?,"Bestenfalls mit klaren, einklagbaren Spielregeln, was beispielsweise die Verwendung von GVO, den Pestizid-/Herbizideinsatz, Anerkennung der WTO als Schiedsgericht, die Nahrungsmitteldeklaration (z.B. kein Orangensaft, bei dem der Zusatz von Maissirup nicht deklariert ist), und die Garantie, dass die importierten Dinge kein bei uns verbotenes Material aus Drittländern enthalten (z.B. Tropenholz)",AGAINST
Befürworten Sie eine weitere Verschärfung des Asylrechts?,"Auch diese Frage wurde leider in den Diskussionen der letzten Jahrzehnte ideologisiert. Eine Asylgewährung um Menschen vor politischer Verfolgungzu schützen, darf nicht in Frage gestellt werden, allerdings muss die Frage der Asylgewährung klar von der Frage der Immigration getrennt werden.",AGAINST
Soll der Bund Ausländer/-innen bei der Integration stärker unterstützen?,"Nein, aber die Kantone und Gemeinden in deren Bestreben, die Ausländer bei der Integration zu unterstützen.",AGAINST
"Eine Initiative fordert, dass die Haftungsregeln für Unternehmen mit Sitz in der Schweiz in Bezug auf die Einhaltung von Menschenrechten und Umweltstandards im Ausland verschärft werden. Befürworten Sie dies?",Unternehmen müssen für Ihre (Miss)Tätigkeiten zur Verantwortung gezogen werden können sofern sie Ihren Sitz in der Schweiz haben. Es wäre wünschenswert wenn auch für die gezielte Finanzierung solcher Unternehmen durch Banken mit dem Sitz in der Schweiz ähnliche Regelungen angestrebt werden würden.,FAVOR
