tweet,stance
👏🏻👏🏻👏🏻👏🏻Se empieza a ver algo de luz... 🌅Pero no bajemos la guardia... aún nos quedan meses muy complicados 🙏🏻 https://t.co/cySkqtHihv,FAVOR
Ya tenemos publicación de la vacuna MODERNA y eficacia del 94% y segura Vaaaamossssss 🙃 https://t.co/Gvbny2XRkJ,FAVOR
"Utilizan la psicología inversa en la población haciendo que las vacunas se vean como oro líquido cuando NO LO SON.Hasta hace 3 meses el 67% de gente en el Perú era RENUENTE a la vacuna.¿La estrategia? ""es un bien ESCASO"", ""si los ricos la quieren, entonces es buena"".PIENSA.",AGAINST
¿Sabéis por qué ya no hay viruela??Porque gracias a vacunar a toda la humanidad se acabó.#Vacunas https://t.co/a7hXahj9nK,FAVOR
@MiguelJaraBlog También. Dentro de poco probablemente sacarán una vacuna de dudosa eficacia.,AGAINST
Hoy me pusieron una vacuna y la enfermera me la puso mal o eso me parece.,FAVOR
A recoger un poquito que luego hay que irse a ponerse la vacuna!,FAVOR
"“Casi durante el 99,99% de la existencia de la raza humana, la esperanza de vida ha sido de menos de 30 años...¿pero qué cambio hace relativamente muy pocos años? La llegada de la prevención gracias a las vacunas” Rino Rappouli  @GSK_ES https://t.co/Zbd6QuxwO6",FAVOR
"Lo dice quien esta a favor de las vacunas que van a generar otras muertes. Que hipocresía por favor. Pero claro no olvidemos que es el bien de la humanidad, el mismo discurso que hacian los nazi. https://t.co/m5JWpSffd8",AGAINST
"¿Dónde están las elaboradas coreografías de sanitarios simulando que se vacunan y enseñando el dedo corazón al coronatimo? Ya que van a ser de los primeros en recibir tan maravilloso regalo, deberían mostrar un poquito de entusiasmo, reflejo de la tranquilidad que les produce.",AGAINST
"X&gt; copy a: tots:X&gt; vacunado!conspiranoico&gt; mira, desde la vacunación habla como el MS-DOS de Bill Gates!X&gt; gracias, pero aunque parezca verosímil hay una explicación más sencilla, estoy estudiando programación 😄 #VacunaCOVID19  @hospitalclinic",FAVOR
Vacuna puesta.,FAVOR
A poner la vacuna 😭,FAVOR
Ahora me pongo la vacuna y 😨😨😨,FAVOR
"A ver, nos está diciendo que no hace falta coger la baja por gripe (además de que te penalizan en el trabajo) para vendernos la puta vacuna?",AGAINST
Ojo con esta noticia sobre la vacuna Covid de Oxford Astra Zeneca. No estará estudiada su eficacia y seguridad hasta finales de 2021. Hasta esta fecha no se vacunará https://t.co/X4kznIxrh5,NONE
"Vacuna papiloma #vph más indicada q en población gral incluso, en #lupus. Indicada incluso en tto inmunosupresor",NONE
"@sanidadgob como conseguir vacuna de varicela en Madrid ,recomendada por @aepediatria si no se distribuye en farmacias? Pq la han eliminado?",FAVOR
"Ya es información y no opinión. @Salud_JCYL vacunará frente a meningococo B a los 3, 5 y 12 meses #LasVacunasFuncionan  @luciapediatra @Nopanaden @2PediatrasNCasa https://t.co/0yGiyvNio4",FAVOR
El abogado y enfermero Luis de Miguel de https://t.co/aQn1Hj6aDq habla sobre las vacunas.#COVID19 #coronavirus https://t.co/9xegSqt76T,NONE
"La carta de Roald Dahl sobre la vacunación, que ayer recomendó Elvira Lindo en @laventana http://t.co/Dmav00XjUO http://t.co/EH1YRtv2bQ",NONE
"Impaciente en conocer  la docta opinión de los ""cuñados"".A ver ahora que dicen.... 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️#YoSiMeVacunoPfizer anuncia que su vacuna funciona también contra una mutación de las nuevas variantes https://t.co/ytY254J8J4 vía @La_SER",FAVOR
"Si no estás vacunado de sarampión, prohibido Disneyland... otro “éxito” de los antivacunas via @BebesYNenes http://t.co/6bey1FOQnZ",FAVOR
ES : ¿Una vacuna contra el VIH?  - Un grupo de científicos estadounidenses asegura que ha creado una vacuna que… http://t.co/wHajSJIhDd,NONE
Pasa frío y encima pa que me pongan una vacuna.......😩,FAVOR
"""Qué significa realmente que la vacuna contra el COVID-19 de Pfizer tenga ""una eficacia de más del 90%"" según los primeros datos del ensayo clínico"" https://t.co/3FwVpdWtOK",NONE
Habemus vacuna. #COVID19 https://t.co/4lbehW5LMH,FAVOR
"@LRsecreta #yoNOSEsimevacunoSoy muy cauta, en general, y cuando llegue el momento ya veré qué decido.",NONE
"Mañana me tengo vacunar, voy a sufrir, no me vacunó desde hace años y siempre lo he odiado, ya que amo los tatuaje y pircings.",FAVOR
Mañana vacuna 💉😰,FAVOR
Me protejo para proteger a mis pacientes #Hematología @Hospital_FJD  💉🦠 https://t.co/hGBvpECodj,FAVOR
La vacuna evita los casos graves de covidLa vacuna tiene una eficacia del 95%Los casos no graves de covid son el 95%La vacuna es eficaz para aquellos que iban a pasar el covid leve sin ponerla.Y dicen que se pelean por esto? Y feijoo el tirano obligar a ponerla?,AGAINST
"El farmacéutico antivacunas que habló ahora en @EspejoPublico usa argumentos ""un poquito difusos"", dignos de la cola de la panadería.",FAVOR
Gran trabajo el de todo el equipo de informativos de @rtve con el #EspecialVacunaRTVE. Televisión pública y de calidad para todos.  https://t.co/11pyqGxchL,NONE
"Pues yo hoy tendría que ir ha hacerme la vacuna..,y si voy a hacerme la vacuna la clase hoy no la piso xd",FAVOR
"Las bolsas se disparan tras anunciar Pfizer que los resultados de los estudios sobre ""su vacuna demostró una eficacia superior al 90%"". https://t.co/ZUSbID9SW0",NONE
Me acabo de acordar de que el martes me ponen la vacuna jeje,FAVOR
"Los políticos y sus engaños. Estar a favor de unas vacunas que nadie sabe si son seguras no es ""buscar salvar vidas"". Si REALMENTE hubieran querido ""salvar vidas"" HUBIERAN ENFRENTADO Y EXIGIDO a Vizcarra medidas SANITARIAS ESTRATÉGICAS en el 2020.¡Calladitas estuvieron! ¿no?",AGAINST
"@Cazatalentos Que raro que no hablen de Cuba, dentro de su aislamiento, vacuna y eficacia en tratamiento previo y además, ofreciendo médicos. Son el ejemplo mundial de eficacia.",FAVOR
me parece que me pilla :s“@eP_Catalunya: El sarampión rebrota entre los menores de 45 años no vacunados http://t.co/EZStf6o”,NONE
"""La eficacia de la vacuna de Oxford contra la COVID-19 puede alcanzar el 90%, según ensayos""  https://t.co/z928BFj80f",NONE
"Me pregunto si los escépticos que se reían de el carnet digital de la vacuna para trabajar que denunciabamos algunos, ahora lo ven con buenos ojos",NONE
Increíble ver hashtag  en serio que bien 😍 https://t.co/VPB9vo5LgS,FAVOR
Gran vídeo explicativo.Es fundamental conocer las vacunas y su funcionamiento. #VacunacionESP #VacunaCOVID19 https://t.co/v4lR4Joe79,NONE
"@kenia_ds Años hace que no me agarró yo la gripe y encima no me vacuno .A mi eso de que me metan un bicho que no conozco, no me va",AGAINST
Espero que Bill Gates mejore la versión... 😜Muchas gracias a todos los que han hecho posible este momento.  https://t.co/k9T2GYNkNe,FAVOR
Vacunada!   @lovenursingmery https://t.co/FA77zBTnzX,FAVOR
"Vacuna!//No es para tanto,exagerados//#BN",FAVOR
"VLPbio ofrece CerviVax, candidato a vacuna contra el cuello de útero. Eficacia 100% en ensayos con ratones #pasionie http://t.co/VvLSPR9SP2",NONE
Magnífico artículo en defensa vacuna de varicela: Pediatria Integral octubre2013 (open access) de F. Álvarez García,NONE
"En en canal 24h de TVE ya estaban vendiendo la moto de que aunque la vacuna que ha encargado su Pedridad solo tiene una eficacia del 70%, frente al 95% de Pfizer y Moderna, la nuestra es más mejor.",NONE
".. proteger a los más vulnerables 4️⃣ Hablemos de eficacia a CORTO PLAZO, o sea, para ya!✳ La eficacia de la vacuna a CORTO plazo a partir de la primera dosis de la vacuna #Pfizer_BioNTech se calcula en alrededor del 90%. ✳La eficacia de la vacuna a corto plazo a partir de https://t.co/1c0EzqW7Kn",NONE
Vacuna de la gripe puesta de la farmacéutica #glaxosmithkline #gsk Estado gripal adquirido....Esperad un poco a q la afinen,FAVOR
"""COVID-19: Rusia dice que su vacuna Sputnik V tiene un 92% de eficacia"" #Coronavirus https://t.co/5sl5PlhzPL",NONE
@CSIC desarrolla prototipo vacuna contra la artritis epidémica chikungunya; virus q ha infectado a millones de personas en África y Asia,NONE
La viruela fue erradicada en 1980 gracias a las vacunas. Las vacunas salvan vidas.  Jornada de actualización clínica en vacunas. https://t.co/I1TZkqFbam,FAVOR
Ya me puso mi padre la vacuna anti-gripe!! ^-^ pero me dolió el pinchazo y el líquido!! T-T,FAVOR
"“El #VPH no es más frecuente en países con menos recursos, su aparición depende del clima y del nivel de inmunidad”.Lola Falcón nos habla sobre el Virus del Papiloma Humano en nuestras IV Jornadas de Actualización en #VacunasIHP #SevillaHoy  https://t.co/UPuqQjaTBb",NONE
Al final el dia no ha sido tan mal como me esperaba:La Vacuna no ha dolido nadaExamen de Natu genial :D,FAVOR
Pues a pegarme la ultima vacuna:S,FAVOR
"Ir a ponerme la vacuna del papiloma humano y que me pongan encima la del tetano, ayyy como sufro...",FAVOR
Ya nos pusieron la vacuna que dolooooor :S,FAVOR
Que malito me pongo los miércoles con la vacuna.. :'(,FAVOR
"#Preventiva nos está enseñando que toda vacuna es buena, bonita y barata.",AGAINST
"Da igual Nuremberg, Oviedo, Resolución Europea 7.3.1 o lo q sea, el chantaje de las vacunas es un hecho, habrá chantaje para viajar y cientos de cosasY la mayoría cederán, es fácil acorralar al pueblo y las amenazas le hacen hincar la rodillaEl resto, preparaos#SLR #COVID19 https://t.co/NL2A4FJMFx",AGAINST
"🇪🇸 Carlos González de la Cuesta, jefe de sección de Alergología Hospital Universitario de Ourense. Rechaza la ""vacunación obligatoria"" y tacha de ""experimento genético"" la vacuna COVID. También califica el estado de alarma como innecesario.https://t.co/ffO1St3x9E",AGAINST
"El aluminio de las vacunas no es el aluminio que ingerimos. El de las vacunas tiene una estructura que fácilmente puede penetrar el cerebro y ""arrastrar"" con él a virus y bacterias. https://t.co/ygJeVfeT7F",AGAINST
"@CosasDeK Es efectiva si no has tenido esos tipos de papiloma, creo que la vacuna protege como contra 4 tipos, los + agresivos",FAVOR
Joooder y ahora a las 8 la vacuna #SOS ademas no me pierdo la primera clase ni nada -..-,FAVOR
"""@laopinioncoruna: La varicela se dispara un 80% en Galicia tras la retirada de la vacuna en las farmacias: lo próximo operar sin anestesia.",NONE
Mensaje importante de Carmen. No parece que las variantes del virus tengan impacto en la eficacia de la vacuna. #Horizonte,NONE
RT“@manolosilveira: Os dejo mi opinión sobre la varicela y los múltiples calendarios vacunales en Españahttp://t.co/wtNm10Du5y”#pediatria,NONE
Las vacunas no provocan autismo.  Jornadas de actualización clínica en vacunas. https://t.co/7yfwUToXBZ,FAVOR
Vacuna puesta,FAVOR
Calendario vacunal con Pilar Montalbán. En actualización clínica en vacunas.  https://t.co/4smfRayAJI,NONE
@fgbernal También influye el virus contra el que haces vacuna. Se ve que se sabe mucho de coronavirus y/o es fácil de vacunar. Por qué lo digo? Hace 6 meses soñábamos con que tuviese una eficacia entre 50-60%. Ahora estamos en 80%+ (con el tiempo el calor inicial tiene a bajar),FAVOR
Entre 2000 y 2012 el número de muertes mundiales por sarampión disminuyó casi un 80% @minsa_panama @WHO #SaludMundial,NONE
Fase III: evaluar la seguridad y la eficacia de la vacuna en cientos o miles de voluntarios.Establecer efectos adversos relevantes (1/10 000).Estudios aleatorios y a doble ciego.Y si supera esta fase se pide autorización para comercialIzación.,NONE
Ellos se ponen 'la firme' mientras al resto de nosotros (sus conejillos de indias) nos usan para testear sus 'vacunas' (que ni los mismos chinos la quieren utilizar).#VacunaGate  https://t.co/8KBkXHxpbR,AGAINST
"Ahora una nueva cepa cuando nos van a poner la vacuna del virus? Otro año mas con otra nueva cepa? cuando acabe supuestamente esa cepa, habra otra cosa con otro nombre?? #Covidmentira #cepamentira #todomentira",AGAINST
"El Dr. Sciuto desde el 2:00:00 dando cátedra sobre los PRC , falsos positivos y las vacunas dudosas.https://t.co/e8HeBR7Xoo",AGAINST
Hala! Ya voy por la quinta vacuna. Ya sólo queda ir a por la sexta y la séptima.,FAVOR
📢🔴Los vacunados Contagian a vaqunados y no vaqunadosLos vaqunados pueden contagiar a los no vaqunados y a los vaqunados también. Los vaqunados pueden propagar la enfermedad y el contacto con los inmunocomprometidos pueden ser especialmente peligrosas ‼️‼️‼️,AGAINST
Jornada  de vacuna papiloma (@ Unidad Editorial) http://t.co/XRa13CQE,NONE
🗞️Vacunológos insisten en la incorporación de la vacuna frente al rotavirus en el calendario de vacunación infantil https://t.co/c0LtrUcfUN#AEVOviedo Cc 1 @fedemartinon,NONE
2 Vacunas en un dia putadaa!Vacuna de los 14,FAVOR
"La farmacéutica de EEUU Moderna anuncia que su vacuna contra la covid-19 tiene una eficacia del 94,5%.Los resultados llegan después de resultados similares de Pfizer y aumentan la confianza en que las vacunas pueden ayudar a poner fin a la pandemia.https://t.co/HU1O1b4P4X",FAVOR
Y de regalo: a pincharme la vacuna y sacarme sangre a montones. Menos mal que luego los de GAME me van a regalar una taza :D,FAVOR
"Otra noticia tranquilizadora.Pregunta el periodista a un ""científico"" : este nuevo brote restará eficacia a la vacuna??*pues no lo sabemos pero estos brotes son pequeños y bla bla bla.Hace 9 meses este tío dijo q como mucho habría 3 o 4 casos sin importancia https://t.co/BqouTcHnj8",AGAINST
"Que el día que me ponga la vacuna, me va a pasar lo mismo te lo aseguro.  https://t.co/uIyWnawq9w",FAVOR
"Que mal llevan los q se mofaban dl Gob y Mtro Illa x anunciar vacuna DicAyuso, Bonilla y otros 'diositos' q maltratan la sanidad pública, y a todo un NO q se inventarán?👉Y ahora les jode la pegatina GE 🙄Casado, SI, &gt; el principio del FIN tuyo y del virus! 💪 ✌️",FAVOR
Por qué han encontrado una vacuna en menos de un mes contra el ébola y no hayan encontrado una para el cáncer?  #CosasQueNadieSabe,NONE
"ES : La vacuna española del VIH se combinará con otros prototipos para lograr erradicar el SIDA  - Esteban,... http://t.co/xsfkY9AhzJ",NONE
"En lo q llevamos de año, ya hemos tenido el mismo numero de niños con varicela complicada q en 2013... Por que será?? http://t.co/e3WJuDS6WJ",FAVOR
"Pfizer hablando de eficacia, y la prensa hablando de efectividad de una vacuna que aún no se comercializa.Un estudio pequeño y sin relevancia estadística habla del déficit de VIT D y el peor pronóstico en el COVID y ya es protocolo en Andalucía.La ciencia no es amarillismo!!!",NONE
"Hola, acabo de venir de ponerme la vacuna jajajaja.",FAVOR
"Linda la bandera de 🇨🇷 en este magistral Teatro Cervantes, Almería 🇪🇸! Hablando de los logros de Costa Rica en vacunación. #Balmis2019 @InstitutoBalmis #pedsID #lasvacunasfuncionan  https://t.co/tGztAErFEU",NONE
Hoy estamos teniendo noticias de verdad graciosas sobre las vacunasPfizer ya no necesita ultracongeladoLa oxford y Astrazeneca son mejores si separan más aún las dosisDos niñas de disfrazan de abuelas para colarsePero estaban probadas y son requeteseguras#SLR #COVID19 https://t.co/AB1I6vsg7t,AGAINST
Hoy a ponerme la penúltima vacuna 😭😭😭,FAVOR
Desbloqueen la venta de la vacuna de la Varicela en las farmacias españolas http://t.co/4Ry4tjcRW5 vía @change_es,FAVOR
"Las vacunas tardan una media de 11 años en ser seguras,la farmacéutica Pfizer hizo la cov1d  en unos meses y México ya se la compró. En el 96 Pfizer experimentó un fármaco con niños nigerianos matando a 11 y otros quedaron ciegos o paralíticos.#FalsaPandemia#DictaduraSanitaria",AGAINST
"este lumbreras me esta negando la muerte de gripes por la vacuna... da igual como lo llames... muertos por ponerse la vacuna hubo y muchos, la historia no la puedes negar, siempre hubo muertos por vacunas somos conejillos de indias https://t.co/9L7nCKhUni",AGAINST
"@diariodeavisos Están dando por hecho la eficacia de la vacuna cuando están empezando testear la tercera fase, y encima no lo están haciendo por la vía de siempre, se están olvidando de una prueba muy importante si hay efectos secundarios a largo plazo, eso no se hace en meses sino en años.",AGAINST
"Las Vacunas de ARN nos pueden modificar genéticamente:1. Modificación de las células somáticas, en particular las células madre.2. Esto generara problemas autoinmunes.3. Posibilidad de transferencia de la modificación genética al (óvulo y esperma). https://t.co/pFQ1EklLkE",AGAINST
"En España ha sido un día histórico, la vacunación, el principio del final del túnel, cuando llegue nuestro turno  Mientras hay que seguir siendo responsables, está pandemia está siendo agotador.#zaragoza 💉😷💪",FAVOR
Un ex-directivo de la OMS dice que España entro de lleno 🤔 en la tercera ola más virulenta y que hay que vacunar como si fuera una operación militar y de guerra 🙄https://t.co/6Reuw0qbm3,AGAINST
Pfizer afirma que su vacuna contra el coronavirus tiene una eficacia del 90% via @el_pais https://t.co/dIcNRHeN5l,NONE
"Sabíais que la #NoLeyAuschwitz del PP pretende vacunación, aislamiento, hospitalización y EXPROPIACIÓN DE LA PROPIEDAD PRIVADA FORZOSA!!!🚨🚨🚨#NosMientenPretenden implantar la agenda globalista 2030 usando la pandemia! Nos quitan todo!Seremos así sumisos dependiendo de ellos! https://t.co/cI8HDSSoXn",AGAINST
Vacuna Pfizer: Los datos muestran una eficacia del 90% contra el coronavirushttps://t.co/qu1nKOWIrN,NONE
Mañana nos ponen la vacuna xd,FAVOR
Al final veras si no pasa como con los test que se compraron a china ...Un error de fabricación despierta dudas sobre la eficacia de la vacuna de AstraZeneca y Oxford - https://t.co/O63KKy2HDR https://t.co/iGoCKJk1BT,AGAINST
Junto con mis vecinos esta tarde hemos estando limpiando la rampa para terminar d liberar ambos carriles de nieve. La vacunación no me ha impedido realizar esfuerzos 💪💪. No hay efectos 2°s. #Vacunate  #yavacunada #sinreacciones 👏👏 https://t.co/rRDxoKffPx,FAVOR
"A fecha 22 de enero, se reportan 329 muertos en EEUU tras vacunarse, incluido el bebé no nacido de una mujer embarazada de 28 semanas https://t.co/8KhQZgrX4Z a través de @ElDiestro_",AGAINST
Dos jueces de Alicante obligan a vacunar a dos ancianos incapacitados pese a la firme oposición de familia y cuidadores: ¡Sinvergüenzas! https://t.co/hrm0MNphF9,AGAINST
"""Moderna pide la autorización de su vacuna contra la COVID para su uso en la Unión Europea tras confirmar que tiene una eficacia del 94,1%"" https://t.co/wOEWz74fPD",NONE
"@JacoboMendioroz realmente dice lo contrario, población menos vacunada tiene más cáncer…Igual menos capacidad económica para costear vacuna…",NONE
Vacunas Anti Gripe ¡Atención Peligro! #Farmafia #Plandemia #Circovid #Covid1984 https://t.co/R7VRPwqwcA,AGAINST
"Hoy domingo 3 de enero, han vacunado al primer miembro de mi familia: mi tío Luís. Sanitario en el Centro Sociosanitario El Pino, en Las Palmas de Gran Canaria. Desde que tengas la oportunidad, vacúnate. Mientras tanto, mascarilla, distancia e higiene.  #COVID19 https://t.co/t3mheZET3k",FAVOR
Per pensar: “carta al padre del niño sin vacunar que expuso a mi familia al sarampión” http://t.co/sfKnfaqaKe,FAVOR
ES : Nueva vacuna contra el VIH es efectiva en primates  - La agencia EFE informó que una nueva estrategia para… http://t.co/PzNxB2IZOP,NONE
El médico que me a puesto la vacuna estaba escuchando un remix to loko de depp low (creo que se llamaba el cantante),FAVOR
¡BOMBAZO! La OMS pone en duda la efectividad de las vacunas por las nuevas mutaciones del virus https://t.co/YxJiSmCBqh,AGAINST
es una locura vacunarse sin saber los efectos adversos a largo plazo.les deseo suerte al personal docente que se inocule esa bazofia de manaos uva rebajada en agua.,AGAINST
La incompetencia “@SEMPSPH: España sin argumentos frente a la retirada de la vacuna de la varicela @GacetaMedicacom http://t.co/Z23QLpkFX6”,FAVOR
